Keyword,Publication Count
mitragynine,1
adme properties,1
pore size,1
aldol condensation reaction,1
α-amylase inhibitor,1
admet profiling,1
antidiabetic agents,1
bis(arylidene)cycloalkanones,1
α-amylase inhibitors,1
cleome gynandra,1
natural product,1
military applications,1
materials application,1
fibre,1
refining,1
jaffna peninsula,1
alternative material source,1
multidimensional vulnerabilities,1
socioecological conflicts,1
ethylene glycol,1
magnesium oxide,1
nanofluids,1
baseline study,1
microplastics pollution,1
penang’s river,1
river water quality parameter,1
alternative material,1
reflexive thematic analysis,1
ni/ga-sba-15,1
ni/al-sba-15,1
scenedesmus parvus,1
failure factors,1
mycelium composites,1
empty fruit bunch fiber,1
lead,1
laboratory,1
indoor dust,1
recurrent respiratory tract infections,1
non-woody biomass,1
reaction optimisation,1
bifidobacterium longumsubsp.infantisb8762,1
gastrointestinal infections,1
gut–lung axis,1
metagenomics,1
gut-lung axis,1
lactiplantibacillus,1
bifidobacterium infantis ylgb-1496,1
index of geo-accumulation,1
alkali solvent,1
wood,1
drying temperature,1
hsp90ab1,1
beta-carotene bio-oil,1
bio-asphalt,1
coatability,1
low-carbon material,1
heat flux,1
sandwich composite,1
bamboo-based composites,1
reuse,1
tempo,1
bamboo fiber,1
eco-friendly materials,1
future prospects,1
environmental remediation,1
market value,1
life cycle assessment (lca),1
forecaster model,1
land use,1
marine water quality,1
safe water access,1
water ecosystem,1
neural network,1
prediction model,1
source apportionment,1
bamboo-based materials,1
biosynthesized nanoparticles,1
air purification,1
uhplc-dad,1
bpei,1
absorption,1
nano-biosensors,1
bio-bonding enhancer,1
wastes,1
bioplastic,1
green packaging,1
marine macroalgae,1
production technology,1
beef tallow,1
lipid extraction,1
bio-based modifier,1
off-grade rubber,1
indoor air quality (iaq),1
renewable materials,1
slow pyrolysis,1
sustainable pavement materials,1
bamboo composites,1
biofabrication challenges,1
structural applications,1
characterization techniques,1
green microbial nanotechnology,1
colistin,1
biobutanol,1
methacrylic acid,1
curvularia sp,1
heavy metal concentrations,1
principal factor analysis,1
bioproducts,1
erosional dynamics,1
extreme rainfall,1
monsoon,1
spatial pattern,1
co2 flux,1
and numerical modelling,1
sustainable water resources development,1
diatom,1
geochemistry,1
late cretaceous-paleocene,1
luk ulo complex,1
surfaces,1
metagranite,1
metapsammite,1
colloidal,1
u–pb zircon dating,1
groundwater pollution,1
hydrogeochemical models,1
clostridium,1
and pearson correlation coefficient,1
adaptive laboratory evolution,1
abe fermentation,1
ultrafiltration,1
polysulfone,1
mixed matric membrane,1
san/abs/pc,1
5-hydroxymethylfurfural,1
advanced glycation end products,1
particulate mass,1
proton exchange membrane,1
and sustainable management,1
thorium extraction,1
hydrological and water quality models,1
oregano essential oil,1
fruit rot disease,1
fruit quality,1
water–rock interactions,1
fractal,1
souss-massa mountainous basin,1
bauxite mining,1
meteorological parameters,1
land use land cover,1
beach sediments,1
conservation,1
leaf litter weight,1
soil biodiversity,1
soil compaction,1
weight,1
era5,1
energy fluxes,1
tropical coast,1
eddy covariance,1
gnip,1
mmwl,1
atmospheric co2 concentration,1
atmosphere–ocean interaction,1
statistics,1
sst,1
roms model,1
rmse,1
error matrix,1
esd,1
statistical downscaling,1
abundance,1
gmwl,1
western ghats,1
tidal zones,1
capturing,1
biochemical,1
techno-economic challenges,1
groundwater and rainwater contamination,1
running water types,1
sustainable bioindustries,1
surface roughness,1
fresh wheat noodles,1
social sustainability,1
waste heat recovery,1
amount effect,1
tropical coastal sea,1
sensible heat,1
latent heat,1
atmospheric surface layer,1
integrated crop livestock,1
oil palm livestock system,1
copper,1
mutagenesis,1
antidiabetic,1
core competencies,1
halal industry,1
lactoferrin,1
health benefits,1
ir4,1
banana stem,1
bioavailability,1
biocompatible adsorbent,1
protein-bound uremic toxin,1
fermented okara,1
α-mangostin,1
thrombin-like enzymes,1
kaffir lime,1
plant latex proteases,1
natural therapeutic agent,1
biofertiliser,1
brassica juncea,1
personalization,1
germination,1
bio-valorization,1
halal executive,1
social science,1
sustainable large-scale production,1
halal,1
wound matrix,1
wound dressing,1
skin layers,1
conventional wound dressing,1
active wound dressing,1
postbiotics,1
in-vitro,1
hyaluronic acid‐silver nanoparticle,1
green synthesis,1
antimicrobe,1
biohydrogen,1
solid oxide fuel cells,1
prebiotics,1
bioconversion,1
morphological structure evaluation,1
optimized collagen,1
tropical marine species,1
mechanisms of action,1
computational social science,1
biomass fuel,1
empty fruit bunch (efb),1
palm oil mill effluent (pome),1
biobr,1
natural rubber latex band,1
hardness removal,1
rainfall,1
natural disasters,1
microplastic removal,1
radioactive waste management,1
thorium extraction processing,1
various electrodes,1
film-based technology,1
process systems engineering assessment,1
calcium,1
sulfonated polysulfone,1
light transmittance,1
sulfated polysaccharide,1
sem,1
synthesis nanoparticles,1
morphological study,1
cellar spider,1
arthropods,1
ion exchange resins,1
halal ecosystem,1
magnesium,1
polyhydroxyalkanoates,1
functional constipation,1
ciprofloxacin,1
metabolite,1
photofunctional materials,1
pomes,1
biorefinery,1
biovalorization,1
chromatographic,1
functional food industries,1
gamification,1
hemostatic activity,1
peatland fires,1
white tea,1
polysaccharides,1
biomass gasification,1
biomethane production,1
6ds gamification framework,1
compositional analysis,1
lmwl,1
mathematical communication skills,1
live hard coral coverage,1
corn starch,1
anthracnose,1
configurations,1
antifouling,1
boiler,1
copper tannate,1
mangrove,1
tannin,1
simulated gastrointestinal condition,1
economic analysis,1
pumpkin,1
yeast,1
mature coconut water,1
differential drive robot,1
landfill gas emissions,1
bioactive compounds,1
emission rate,1
heterocytous,1
nostocales,1
scopus,1
α-glucosidase inhibition,1
hydroxypropylation,1
coral-affecting physicochemical factors,1
fermented pumpkin,1
motion path analysis,1
clothoid curved,1
green chemicals,1
freshness monitoring,1
intelligent film,1
bionanocomposite,1
biopolymer matrix,1
gas transport,1
functional compounds,1
nanoreinforcement,1
box–behnken design,1
permeability properties,1
tortuous path model,1
dioxins,1
dl-pcbs,1
acetic acid bacteria,1
permeability,1
bioelectricity,1
waste heat,1
co2 capturing,1
cognitive development,1
air pollution,1
monte carlo,1
"mann-kendal, sen’s slope estimator",1
south china sea,1
peninsular malaysia,1
meta-analysis,1
trend,1
marine microplastics,1
tropical cyanobacteria,1
monsoon variability,1
halophila ovalis,1
global warming,1
agro-wastes,1
aspergillus niger hfm 8,1
bibliometric,1
ion exchange membranes,1
energy-saving,1
coats – redfern method,1
multiple stressors,1
simulation,1
solar collectors,1
health effects,1
sza,1
o3 column,1
heatwaves,1
landfill gas,1
waste transportation vehicles,1
landfill,1
gis,1
dispersion modeling,1
photosynthesis,1
nutrient enrichments,1
polyphasic characterization,1
subaerophytic,1
innovative trend analysis,1
coastal waters,1
uv index,1
ozone,1
sustainable environments,1
theil-sen’s,1
seagrass ecosystems,1
climate change mitigation,1
cot,1
energy recovery,1
antracol,1
sugarcane bagasse,1
polypyrrole,1
sodium distribution,1
salt-coated yellow alkaline noodles,1
engine jacket water,1
microstructure,1
guar gum,1
cooking qualities,1
combined cycle power plant,1
neurotransmitter,1
shrimp,1
quechers,1
dllme,1
gc×gc,1
oyster,1
co-gasification,1
alginate,1
biogenic caco3,1
bisphenol a,1
magnetic nanoparticle,1
oyster shell,1
beetroot phytochemicals,1
beetroot powder,1
limestone,1
crassostrea belcheri,1
stable isotope,1
precipitation,1
problem-based learning,1
sdgs (no-poverty),1
sedekah,1
economic sustainability,1
reefs,1
web application,1
crassostrea iredalei,1
sea cucumber,1
spawning behaviour,1
stichopus fusiformiossa,1
black tea,1
hazard index,1
hazard quotient,1
histamine,1
drying techniques,1
tyramine,1
msw,1
oil palm yields,1
buildings application,1
frying oils,1
path tracking,1
composite hydrophobic nanocoating,1
robot simulation,1
tga/dta,1
nigrospora species,1
endophytes,1
dispersion,1
air pollution modeling,1
semi-transparent,1
pomelo peels,1
ssf,1
agrochemical,1
photovoltaic thermal,1
antibiotic resistance genes (args),1
environmental pollutions,1
greenhouse gases (ghgs),1
robot simtion,1
health hazards,1
high-insulation glass,1
konjac,1
perspective transformation,1
video camera,1
cluster analysis,1
ginkgo biloba leaves flavonoids,1
lc-ms/ms,1
neonicotinoid pesticides,1
iron retention,1
orthogonal array design,1
updraft gasifier,1
biohydrogen production,1
cloud optical thickness,1
mann kendall,1
clothoid,1
sorbent,1
waste marble powder,1
surface-active latex,1
sludge capturing process,1
nrl film,1
coagulant-assisted,1
swietenia macrophylla king,1
circular arcs,1
wound-healing phases,1
exopolysaccharides,1
angiogenesis,1
ethanol fermentation,1
ethanol tolerance,1
ethanol yield,1
fermentation ability,1
wheat,1
endophytic fungi,1
drought,1
bioreactors,1
starchy biomass,1
longevity,1
rga,1
pome,1
phenyllactic acid,1
phenylalanine,1
calorific value,1
phenylacetic acid,1
caryota urens oil,1
caryota urens oil methyl ethyl esters,1
pharmacy,1
ultrasound,1
ethanol production,1
high-sugar diet,1
coconut water,1
ethanol concentration,1
nano-biochar,1
biogas upgrading,1
biomethanation,1
h2 diffusion,1
tea infusions,1
fresh white salted noodles,1
smart grid integration,1
environmental applications,1
modification,1
fe-co–cu,1
ghg reduction,1
anaerobic bioreactors,1
anaerobic filter reactors,1
asbr,1
economic feasibility,1
environmental impact,1
uasb reactors,1
bioethanol fermentation,1
budding yeast,1
molecular forces,1
functionality,1
co-solvency,1
reduced reaction time,1
terpenoids,1
triterpenoid saponins,1
and formaldehyde-free,1
bamboo particleboard,1
bio-based adhesives,1
nelumbo nucifera starch,1
bamboo fibres,1
delayed ettringite formation,1
disposable face masks,1
comprehensive strength,1
pharnaceuticals,1
haze event,1
health risk assessment,1
particulate matters,1
marine food,1
hydropuntia sp,1
biopurification,1
biosorbent,1
composite biosorbents,1
herbal medicines,1
functional enrichment analysis,1
drugs,1
hydrochar addition,1
anaerobic digester,1
centralized controller,1
white tea aqueous extract,1
mimo,1
multi-objective,1
nsga-ii,1
bio-electrochemical systems,1
hydrothermal pretreatment,1
partial nitritation,1
depression,1
sulphate reduction,1
waste concrete aggregate,1
pasteurization,1
physicochemical quality,1
rock melon,1
pasteurisation,1
red dragon fruit,1
vitamin c,1
circular economic,1
endurance performance,1
ionic-liquid,1
rubberwood,1
sodium butyrate,1
wood preservation,1
aedes aegypti,1
aedes albopictus,1
eco-friendly bio-spray,1
differential scanning calorimetry,1
volatile compounds,1
kneading technique,1
dysbiosis,1
microbiome,1
microbiome-based interventions,1
carbofuran,1
fate,1
metabolic pathways,1
metabolites,1
usage,1
co₂ scavenger,1
fresh produce,1
quality parameters,1
sodium acetate,1
life-cycle assessment,1
biochar functionalization,1
odor pollution,1
biochemical analysis,1
biomimetic 3d scaffolds,1
ecm remodeling,1
nano-antimicrobials,1
banana,1
nanofertilizers,1
drug delivery system,1
pectin-based film,1
tensile properties,1
artificial neural networks (ann),1
cs-based materials,1
machine learning-assisted materials design,1
agricultural waste,1
bio-succinic acid,1
microbial bioconversion,1
zero waste,1
ginger essential oil,1
bioreactor and ammonia reduction,1
hazardous chemicals,1
dyes/pigments,1
polyolefins,1
sensors and actuators,1
thermoplastics,1
hydrogen energy,1
policy and regulation,1
pea proteins,1
tyrosine,1
skincare,1
phenylpyruvic acid,1
preservation,1
anaerobic digestion (ad),1
hollow-fiber membranes,1
beef,1
waste oil,1
anaerobic digestate,1
biogas power plant,1
hydrothermal carbonization,1
hybrid photocatalytic sequencing batch biofilm reactor,1
kinetics study,1
phytotoxicity assessment,1
reusability,1
sugarcane vinasse,1
grid resilience,1
energy optimisation,1
artificial intelligence (ai),1
biogas purification,1
banana fruit,1
chitosan coating,1
delay ripening,1
nanoclay,1
co-precipitation technique,1
inclusion complex,1
nanofungicides,1
animal-based composite,1
biological activities,1
biogas production,1
response surface method (rsm),1
quinoa proteins,1
ammonia toxicity,1
complex coacervation,1
animal-based proteins,1
sub-thermophilic,1
swine manure,1
total solids content,1
fe3+ crosslinking,1
d2ehpa,1
vegetable oil,1
ci engine,1
emission,1
palm biodiesel,1
performance,1
nir,1
refined bleached deodorized palm oil,1
used oil,1
fatty acids diagnostic ratio,1
gas chromatography-flame ionisation detector,1
refined bleached deodorised palm oil,1
fish gelatine,1
lactiplantibacillus plantarum k014,1
texture modified food,1
dysphagia,1
cell-free supernatant,1
prospective applications,1
anti-acne agent,1
structural characterization,1
pyrene,1
iron based catalyst,1
combustion,1
palm oil traceability,1
functional coatings,1
near-infrared spectroscopy,1
membrane surface modification,1
methyl methacrylate,1
polyimide,1
radiation induced graft copolymerization,1
artificial kidney,1
hemodialysis,1
membrane technology,1
toxin removal,1
bpa,1
yttrium,1
thermal compatibility,1
plant-based fermentation,1
cutibacterium acnes,1
gel microparticles,1
microbial transglutaminase enzymes,1
texture profile analysis,1
texture-modified food,1
gas chromatography-ion mobility spectrometry,1
geographical origin,1
hematite,1
tropical soil,1
polycyclic aromatic hydrocarbons,1
natural iron,1
metal ions,1
water pollution,1
drying,1
feed,1
insects,1
bacillus licheniformis 2d55,1
pre-treatment,1
processing,1
industrial and innovation,1
sustainable energy source,1
palm oil industry,1
technoeconomic analysis,1
biomethane,1
a. platensis,1
fermentation efficiency,1
organic substrate,1
organic waste,1
sugar utilization,1
lactic acid bacteria (lab),1
fly ash,1
carboxymethyl cellulase,1
enzyme,1
tremella polysaccharides,1
phenanthrene,1
palm mesocarp fiber,1
benzo(a)pyrene,1
tropical soil chemistry,1
soil remediation techniques,1
persulfate activation,1
natural catalysis,1
benzo[a]pyrene removal,1
microgels,1
tmnps characterisation,1
pnc,1
growth profile,1
power density,1
fe–co–zn,1
polyethene glycol,1
partial purification,1
fe–ni–zn,1
palm oil mill effluent,1
methods,1
electron beam,1
fruit juices,1
pla/pbat blends,1
rambutan leaf extract,1
sanitizing,1
activated sludge,1
efficacy formula,1
anti-ageing,1
anammox,1
digester effluent,1
energy conservation,1
longevity extension,1
non-woven polypropylene,1
oxidative stress-related,1
biodegradable materials,1
isolation,1
supercritical treatment,1
sweet osmanthus,1
compatibilization,1
halochromic polymers,1
ph-responsive materials,1
product development,1
durian peel waste,1
blend,1
fiber reinforcement,1
corn steep liquor,1
industrial wastewater,1
strip dispersion,1
transport rate,1
biofertilizers,1
cosmetics,1
diatoms,1
food,1
seaweeds,1
eco-composite,1
abaca fiber,1
cleaner approach,1
gene expression,1
refrigerated storage,1
makeup,1
foundation,1
hybrid fillers,1
bast fiber,1
palm shell lignin,1
orthogonal test,1
rambutan extract,1
surface hydrophilicity,1
in vitro antioxidant,1
one health,1
mgcl2,1
cow’s milk allergy,1
nai,1
trace elements,1
tetraselmis chuii,1
environmental impacts,1
extraction methods,1
taguchi orthogonal array,1
limitations,1
superoxide dismutase (sod),1
zno,1
caffeine,1
thermal expansion coefficient,1
antifouling property,1
graphene oxide,1
cell viability,1
hemodialysis membrane,1
iron oxide,1
sputtering technique,1
reactive sputtering,1
proteolytic activity,1
white tea extract,1
functional beverage,1
freshness,1
succinic acid (sua),1
preservative,1
glutaric acid (gla),1
azelaic acid (aza),1
in vitro cell viability study,1
agro-food organic residues,1
bio-preservative,1
physical vapor deposition,1
antimicrobial powder,1
fermentation capability,1
bacteriocin,1
advantages,1
co-sputtering,1
magnetron sputtering,1
photocatalyst deposition,1
photocatalytic membrane,1
mesoporous silica,1
