Keyword,Total Citations
logging residues,2
pellet,2
academic misconduct,2
nation building,2
plagiarism,2
talent,2
alternatives,2
plasma treatment,2
waste oil,2
starchy biomass,2
reduced reaction time,2
cancer oncology,2
vosviewer,2
manufacturing,2
superoxide dismutase (sod),2
plant-based fermentation,2
lactiplantibacillus plantarum k014,2
cutibacterium acnes,2
cell-free supernatant,2
anti-acne agent,2
trace elements,2
artificial,2
biomaterial,2
bone,2
texture modified food,2
physical properties,2
microgels,2
dysphagia,2
materials in biotechnology,2
pharmaceutical manufacturing,2
thermal expansion coefficient,2
thermal compatibility,2
solid oxide fuel cells,2
power density,2
bioresource based product,2
chemical properties,2
hydrothermal pretreatment,2
nitrogen plasma,2
chemical evaluation,2
etching effect,2
decision-making in offshore engineering,2
uv index,2
trend,2
sen’s slope estimator,2
mann-kendal,2
health effects,2
sza,2
o3 column,2
innovative trend analysis,2
taguchi orthogonal array,2
decommissioning,2
stable isotope,2
mmwl,2
lmwl,2
gmwl,2
amount effect,2
greenhouse gas emissions,2
mercury,2
naturally occurring radioactive materials (norm),2
polysaccharide,2
microbial evaluation,2
loquat (eriobotrya japonica),2
fish fillet,2
amino acids,2
milk protein concentrate,2
haze event,2
calorific value,2
non-woven polypropylene,2
eco-composite,2
disposable face masks,2
bamboo fibres,2
beef,2
nelumbo nucifera starch,2
bio-based adhesives,2
fresh white salted noodles,2
bamboo particleboard,2
and formaldehyde-free,2
bacteriocin purification,2
health risk assessment,2
oral health therapeutics,2
peg-based aqueous two-phase system,2
probiotic-derived antimicrobial,2
vitamin c,2
red dragon fruit,2
pasteurisation,2
tea infusions,2
refrigerated storage,2
whey protein concentrate,2
particulate matters,2
ammonia toxicity,2
gnip,2
bifidobacterium longum subsp. infantis b8762,2
aerogels,2
vaginal health,2
optimisation,2
respiratory illness,2
bifidobacterium longum subsp. infantis ylgb-1496,2
immunological effects,2
anti-bacillus,2
zhenghe white tea,2
respiratory symptoms,2
microwave assessed,2
thermal insulator,2
staphylococcusspp,2
isotherms,2
microcrystalline cellulose,2
osteoblast cells,2
starch carrier,2
bone remodeling,2
calcium phosphate,2
principal component analysis,2
camelus dromedaries,2
gut health,2
porous starch,2
tensile properties,2
pectin-based film,2
bacillusspp,2
cytotoxicity •,2
ginger essential oil,2
chromanone,2
autoclave fibre cement composite,2
ultrasound-assisted extraction,2
pediatrics,2
mangrove coastal management,2
gastrointestinal symptoms,2
starch modification,2
natural product,2
cleome gynandra,2
oil pam empty fruit bunch pulp,2
river water quality parameter,2
water quality,2
radiata pine pulp,2
penang’s river,2
differential scanning calorimetry,2
low crystallinity,2
baseline study,2
microplastics pollution,2
calophyllum,2
safety,2
biological indicators,2
biomonitoring,2
chongcha,1
extract,1
polyphasic characterization,1
nostocales,1
heterocytous,1
cosmetics,1
tropical cyanobacteria,1
pasteurization,1
physicochemical quality,1
rock melon,1
sodium bisulfite,1
biofertilizers,1
subaerophytic,1
seaweeds,1
minimum inhibitory concentration,1
attractive toxic sugar bait (atsb),1
food,1
anthracycline,1
pak,1
pharnaceuticals,1
liubao,1
small rhogtpases,1
breast cancer,1
endophytic fungi,1
minimum bactericidal concentration,1
taxane,1
drought,1
diatoms,1
probiotic properties,1
aedes albopictus,1
microcrystalline cellulose (mccs),1
luk ulo complex,1
late cretaceous-paleocene,1
geochemistry,1
various electrodes,1
thorium extraction processing,1
radioactive waste management,1
steam distillation,1
rosa damascene,1
natural preservative,1
oil palm empty fruit bunches (opefb),1
halal ecosystem,1
metapsammite,1
gamification,1
6ds gamification framework,1
degree of deacetylation,1
chitin,1
mineral elements,1
essential amino acids,1
health risk,1
life-cycle assessment,1
breeding waste compost,1
alkali solvent,1
metagranite,1
u–pb zircon dating,1
theil-sen’s,1
white tea extract,1
ozone,1
mann kendall,1
cloud optical thickness,1
aedes aegypti,1
admet,1
antiapoptotic,1
apoptotis,1
bcl-2,1
longevity extension,1
oxidative stress-related,1
spatial statistics,1
α-glucosidase,1
rainfall variation,1
period of change,1
modified mann kendall,1
merra-2,1
stilbene,1
endiandra kingiana,1
endiandric acid,1
kingianin,1
biogas purification,1
biogas application,1
health hazards,1
hyaluronic acid‐silver nanoparticle,1
coumarins,1
α-mangostin,1
biocompatible adsorbent,1
ir4,1
halal industry,1
halal executive,1
core competencies,1
tropical marine species,1
optimized collagen,1
morphological structure evaluation,1
polyhydroxyalkanoates,1
chromatographic,1
superhydrophobic,1
models,1
method,1
carbon neutrality,1
processing,1
pre-treatment,1
insects,1
feed,1
drying,1
benzo[a]pyrene removal,1
natural catalysis,1
persulfate activation,1
soil remediation techniques,1
protein-bound uremic toxin,1
ionic liquid,1
calophyllum recurvatum,1
beads,1
wood,1
biological waste treatment,1
sputtering technique,1
reactive sputtering,1
physical vapor deposition,1
photocatalytic membrane,1
photocatalyst deposition,1
magnetron sputtering,1
co-sputtering,1
environmental chemical engineering,1
environmental engineering,1
palm oil mill effluents,1
computational biology,1
n-feruloyltyramine,1
nsp1,1
piper sarmentosum roxb,1
sars-cov-2,1
surface,1
surface hydrophilicity,1
iron oxide,1
hemodialysis membrane,1
graphene oxide,1
antifouling property,1
tropical soil chemistry,1
malaysia,1
uasb reactors,1
economic feasibility,1
2-benzylidene-1-indanone derivatives,1
adme properties,1
aldol condensation reaction,1
α-amylase inhibitor,1
partial nitritation,1
energy conservation,1
digester effluent,1
anammox,1
activated sludge,1
aquaculture wastewater,1
biofertilizer,1
solid recovery,1
a. platensis,1
rambutan extract,1
pla/pbat blends,1
ph-responsive materials,1
halochromic polymers,1
compatibilization,1
antimicrobe,1
green synthesis,1
niacinamide,1
fertilizer,1
calophyllum andersonii,1
amaranthus spp.,1
activation,1
biomarker,1
advantages,1
asbr,1
anaerobic filter reactors,1
anaerobic bioreactors,1
ghg reduction,1
bioreactors,1
biofuels,1
bio-electrochemical systems,1
char,1
drying temperature,1
hsp90ab1,1
bacteriocin,1
biosensors,1
limitations,1
methods,1
metabolite profiling,1
network pharmacology,1
oxidative,1
passiflora edulis,1
passion fruit,1
signaling,1
prognosis,1
expression,1
kapok fibres,1
autodock 4.2,1
topical drug delivery,1
waste transportation vehicles,1
landfill,1
gis,1
dispersion modeling,1
density functional theory,1
biochemical,1
epoxy,1
non-diabetic,1
diabetic,1
primer coating,1
mushrooms,1
adaptogen,1
thermochemical technology,1
hydrochar,1
aermod,1
hydrolysate,1
medium optimization,1
palm kernel cake,1
plackett-burman design,1
palm oil waste management,1
phytocompound,1
mineral enrichment,1
composite flour muffins,1
sodium reduction,1
artocarpus altilis,1
commodity crop,1
bifidobacterium infantis ylgb-1496,1
volatile organic compounds,1
corrosion,1
fresh wheat noodles,1
surface functionalization,1
water contact angle,1
cellulose nanofibrils,1
flame retardance,1
bio-based composites,1
calcium,1
life cycle assessment (lca),1
hardness removal,1
ion exchange resins,1
bamboo-based materials,1
bifidobacterium,1
gut-lung axis,1
hybrid films,1
environmental footprint,1
heatwaves,1
cognitive development,1
lactiplantibacillus,1
air pollution,1
recurrent respiratory tract infections,1
magnesium,1
abs,1
coatings,1
physicochemical characterisation,1
infrared (r,1
ftir),1
microscopy,1
optical transparency,1
resins and plastics,1
san,1
texture profile analysis (tpa),1
materials processing,1
electromagnetic interference shielding,1
biocompatibility,1
quality parameters,1
fresh produce,1
repeated frying,1
co₂ scavenger,1
palm olein,1
monochloropropanediol esters,1
glycidyl esters,1
antimicrobial activity,1
in vitro,1
oyster,1
gc×gc,1
dllme,1
crassostrea iredalei,1
crassostrea belcheri,1
enrichment,1
sensors,1
cervical cancer cells,1
characterization techniques,1
potassium sorbate,1
biological activity,1
gold nanoparticles,1
organic ligands,1
degradation kinetics,1
stichopus fusiformiossa,1
ixora coccinea curtis flower,1
metal organic semiconductor,1
microbial,1
sea cucumber,1
neurotransmitter,1
spawning behaviour,1
rice husk-derived silica nanoparticles,0
first-generation,0
seaweed biopolymer,0
white salted noodles,0
genetic manipulation,0
lipid,0
β-variational autoencoder (β-vae),0
bioactive peptides,0
circular economy principles,0
transeterification,0
diabetes management,0
beetroot phytochemicals,0
sustainable development goals (sdgs),0
sustainable engineering materials,0
sodium-free,0
medical,0
beetroot powder,0
drying techniques,0
raman spectroscopy,0
iron retention,0
oil palm yields,0
conversion technologies,0
sustainable livelihoods,0
cow’s milk allergy,0
growth profile,0
spent oil,0
acoustic absorption,0
sustainable coastal management,0
coastal fisheries,0
coastal development,0
health,0
fruit and vegetable waste,0
river water,0
hypoglycaemic activity,0
functional foods,0
natural coagulant,0
one health,0
cell viability,0
microbiome-based interventions,0
green modification,0
mucoadhesive hydrogel,0
mesenchymal stem cell derived exosomes,0
banana peels,0
edible bird’s nest (ebn),0
energy conservation measures (ecm),0
impurity segmentation,0
proteolytic activity,0
intensity inhomogeneity (iih),0
ecosystems,0
web application,0
bio-composite materials,0
total viable count,0
nir,0
refined bleached deodorized palm oil,0
used oil,0
shrimp preservation,0
protein extraction,0
healthcare professionals,0
palm biodiesel,0
waste heat recovery,0
environmental assessment,0
antimicrobial stewardship program (asp),0
natural preservatives,0
antimicrobial resistance (amr),0
rainbow trout,0
performance,0
emission,0
loquat seed polysaccharide,0
palm oil traceability,0
modelling,0
bacterial denitrification,0
spoilage,0
combined cycle power plant,0
nitrogen cycle,0
nitrogen source,0
nitrogen transformation,0
building energy intensity (bei),0
engine jacket water,0
lightness,0
stable isotopes,0
ci engine,0
combustion,0
energy audit,0
arima,0
facebook prophet,0
ph,0
mtdna,0
fluoride,0
remediation technologie,0
k-value,0
control region,0
kedayan,0
statistical downscaling,0
population data,0
atmospheric surface layer,0
arsenic,0
mechanical systems noise control,0
micro-perforated panel (mpp),0
era5,0
energy fluxes,0
correlation,0
tropical coast,0
latent heat,0
near-infrared spectroscopy,0
food items,0
sustainable bioindustries,0
geographical origin,0
dysbiosis,0
microbiome,0
neural prophet,0
time-series analysis,0
freshwater ecosystem,0
gas chromatography-ion mobility spectrometry,0
stable isotope signatures,0
trophic level,0
tropical freshwater,0
antibiotics,0
tropical coastal sea,0
sensible heat,0
eddy covariance,0
chemical hazard,0
stimulating learning,0
path tracking,0
anti-ageing,0
efficacy formula,0
foundation,0
makeup,0
coconut water,0
motion path analysis,0
endurance performance,0
differential drive robot,0
pollutants,0
clothoid curved,0
hydroxypropylation,0
thermoplastics,0
non-governmental organisation (ngo),0
corn starch,0
polysaccharides,0
marine food,0
solid organic wastes,0
iron oxide nanoparticles,0
perspective transformation,0
diatom,0
video camera,0
fat substitution,0
marine algae,0
water absorption,0
landfill gas emissions,0
energy recovery,0
dispersion,0
air pollution modeling,0
oil and gas,0
pectinase,0
controlled biodegradation,0
pumpkin–carrot matrix,0
glucono-delta-lactone (gdl),0
physical hazard,0
robot simulation,0
azadirachta indica,0
characters,0
clothoid,0
hydropuntia sp,0
magnetic,0
ziziphus spina-christi (l.),0
wind directions,0
silver,0
refinery oily sludge,0
hydrocarbon,0
food waste digestate,0
soil enzyme,0
nutrient bioavailability,0
fulvic acid,0
predictive analytics,0
quantile regression,0
dyes/pigments,0
polyolefins,0
electrocoagulation,0
calcareous soil,0
flocculation index,0
polylactic acid (pla),0
sensors and actuators,0
flocs,0
hybrid modelling techniques,0
waste generated,0
waste disposal sites,0
menara razak and residensi tower,0
peat addition,0
goose dung compost,0
duck dung compost,0
freshness,0
cow dung compost,0
oat rice,0
quick-cooking cereals,0
rehydration kinetics,0
tourism products,0
biocomposite films,0
food sector,0
seed germination,0
food waste compost,0
net greenhouse gas emissions,0
organic waste management,0
organic waste treatment,0
industrial effluent,0
cellulase,0
refrigerated beef,0
surface water,0
experimental modal analysis (ema),0
deflection,0
resistivity,0
eri,0
contamination,0
yield,0
thiosulfate,0
recovery,0
hydrogen peroxide,0
gold,0
sustainable agricultural practices,0
provisioning ecosystem service,0
global crop production,0
management,0
plant-based coagulant,0
ecosystem function and services,0
climate action,0
natural frequency,0
sustainable food consumption,0
intensified microbubbles,0
sustainable environments,0
velocity,0
pressure,0
bacillus licheniformis 2d55,0
carboxymethyl cellulase,0
partial purification,0
polyethene glycol,0
bioproducts,0
seagrass ecosystems,0
biological hazard,0
climate change mitigation,0
anomaly detection,0
nutrients,0
banana wastes,0
computational fluid dynamic (cfd),0
spillway,0
operational deflection shape (ods),0
vallisneria spiralis,0
submerged macrophytes,0
cdc42,0
atopic dermatitis,0
waste biomass,0
resole,0
resin moulding methods,0
pharmacy,0
phenylacetic acid,0
phenylalanine,0
phenyllactic acid,0
global warming,0
blue carbon,0
phenylpyruvic acid,0
skincare,0
tyrosine,0
occupational safety and health,0
small g-protein,0
primary immunodeficiency,0
phenolic resins,0
in silico,0
white tea aqueous extract,0
longevity,0
high-sugar diet,0
hydroxyl radicals,0
carbohydrate valorization,0
randomized clinical trials,0
inorganic water pollutants,0
ceratophyllum demersum,0
abts radicals,0
dpph radicals,0
extract concentration,0
insect tea,0
nutritional composition,0
photosynthesis,0
nutrient enrichments,0
multiple stressors,0
halophila ovalis,0
fish bone,0
functional food ingredient,0
noodle,0
interfacial interactions,0
mimo,0
public awareness,0
oil palm livestock system,0
eco-friendly bio-spray,0
carbon black,0
dry heating,0
hazardous chemicals,0
odor pollution,0
wound,0
fruit waste,0
aquifer characteristics,0
aware model,0
antioxidant activities,0
paddy irrigation,0
conductive ink,0
sweet thai chili sauce,0
sensory evaluation,0
salt substitutes,0
esd,0
mathematical communication skills,0
problem-based learning,0
sdgs (no-poverty),0
sedekah,0
economic sustainability,0
synthesis nanoparticles,0
morphological study,0
cellar spider,0
ion exchange membranes,0
coagulant-assisted,0
nrl film,0
sludge capturing process,0
surface-active latex,0
machine learning-assisted materials design,0
chitosan-based emulsions,0
polymer coatings,0
wax–polymer interactions,0
bibliometric,0
scopus,0
arthropods,0
biomass processing,0
whey protein isolate (wpi),0
maillard conjugation,0
lactose and glucose,0
abe fermentation,0
adaptive laboratory evolution,0
bioreactor and ammonia reduction,0
mutagenesis,0
sustainable large-scale production,0
integrated crop livestock,0
social sustainability,0
debris damming,0
precision herbal medicine,0
risk factors,0
groundwater development and management,0
recharging and discharging,0
water scarcity,0
psychological distress,0
prevalence,0
mental health,0
extraction and purification,0
encapsulation technology,0
cognitive health,0
leachate,0
rubberwood,0
groundwater and rainwater contamination,0
running water types,0
sustainable water resources development,0
sodium acetate,0
sodium butyrate,0
wood preservation,0
marine engineering monitoring,0
rad50,0
in-silico,0
climate change effects,0
starch nanoparticle,0
starch nanocrystal,0
polypyrrole,0
graphite,0
total flavonoid,0
macroporous polymeric resin,0
polyphenol,0
alginate,0
biogenic caco3,0
bisphenol a,0
magnetic nanoparticle,0
oyster shell,0
healthy beverage,0
pullulanase,0
fermented tea,0
agro-waste,0
palm kernel oil,0
acetic acid,0
butyric acid,0
clostridium butyricum,0
metals,0
medium-chain triglycerides (mcts),0
acid hydrolysis,0
cellulose surface modification,0
spatial epidemiology,0
poison management,0
pattern recognition,0
wood resin impregnation,0
lead,0
laboratory,0
sensoryu evaluation,0
noodles,0
flour,0
indoor dust,0
pediatric gut microbiome,0
hmo-utilizing bifidobacterium,0
gi-maps,0
digital-twin simulation,0
index of geo-accumulation,0
rainfall prediction model,0
multiple linear regression,0
low-carbon material,0
coatability,0
bio-asphalt,0
crab-based chitosan,0
filler,0
confined spaces,0
heritage buildings,0
wood modification,0
finite element analysis,0
jaffna peninsula,0
poison reagent,0
ul-94,0
bamboo composites,0
alternative material,0
bamboo fibre,0
bamboo-based composites,0
fibre,0
military applications,0
sustainable health,0
poisoning,0
mucosal immunity,0
multidimensional vulnerabilities,0
malaysia national poison center,0
household chemical products,0
socioecological conflicts,0
reflexive thematic analysis,0
infant gut microbiota,0
immune homeostasis,0
bifidobacterium infantis,0
short term travel,0
antibiotic resistant genes,0
occupational health,0
monsoonal transport,0
southeast asian catchments,0
bifidobacterium longumsubsp.infantisb8762,0
slow pyrolysis,0
renewable materials,0
off-grade rubber,0
bio-solvent,0
bio-bonding enhancer,0
bio-based modifier,0
bio-based polymers,0
gut–lung axis,0
gastrointestinal infections,0
cs-based materials,0
biomass lipid,0
animal-based composite,0
environmental impacts,0
bioelectricity,0
configurations,0
ahu,0
air handling unit,0
chemical incident,0
indoor environment,0
mechanical ventilation,0
sustainable pavement materials,0
chlorella vulgaris cultivation,0
spectroscopy characterization,0
nano-biosensors,0
urban runoff,0
discriminant analysis,0
skin gelatine,0
uhplc-dad,0
air purification,0
biosynthesized nanoparticles,0
environmental remediation,0
green microbial nanotechnology,0
indoor air quality (iaq),0
beta-carotene bio-oil,0
photobioreactor,0
alternative material source,0
artificial neural networks (ann),0
amphiphobic surfaces,0
aquatic organisms,0
ecological risk,0
mangrove marine pollution,0
safe clean water source,0
water resource aquatic toxicology,0
metagenomics,0
dam-break erosion,0
multi-scale feature fusion,0
biodegradable nanocomposites,0
organic substrate,0
education systems,0
bioeconomy,0
xhr fesem,0
silica,0
meat quality,0
drinking water,0
anaerobic digester,0
centralized controller,0
hybrid composite,0
multi-objective,0
nsga-ii,0
rga,0
bioethanol fermentation,0
budding yeast,0
ethanol concentration,0
ethanol fermentation,0
ethanol production,0
ethanol tolerance,0
ethanol yield,0
fermentation ability,0
fermentation capability,0
heis,0
higher education institutions,0
innovative education models,0
zea mays l,0
degradation-aware energy analysis,0
admet profiling,0
mendelian randomization,0
immune infiltration,0
hybrid photocatalytic sequencing batch biofilm reactor,0
kinetics study,0
phytotoxicity assessment,0
sugarcane vinasse,0
immune cells,0
broiler chickens,0
national needs-to-skill alignment,0
adipokines,0
feed conversion ratio,0
metabolic diseases,0
fermented foods,0
lignocellulose,0
physical treatment,0
upskilling,0
talent development,0
reskilling,0
fermentation efficiency,0
organic waste,0
geomorphic amplification,0
sugar utilization,0
biovalorization,0
hemostatic activity,0
plant latex proteases,0
thrombin-like enzymes,0
computational social science,0
halal,0
social science,0
banana stem,0
biosugar,0
hydrolysis,0
microorganisms,0
electron beam,0
membrane surface modification,0
methyl methacrylate,0
polyimide,0
radiation induced graft copolymerization,0
mgcl2,0
nai,0
biocircular economy,0
greenhouse mitigation,0
bio-aviation fuel,0
waste frying oil (wfo),0
riverbank filtration (rbf),0
rates of detachment,0
fiberglass,0
biohydrogen,0
biomethane,0
palm oil industry,0
fly ash,0
metal ions,0
water pollution,0
pyrogenic minerals,0
nano-rhizosphere,0
crop resilience,0
microbial fuel cell (mfc),0
rates of attachment,0
fiber orientation,0
bioconversion,0
biofertiliser,0
brassica juncea,0
germination,0
bio-valorization,0
biomass fuel,0
empty fruit bunch (efb),0
palm oil mill effluent (pome),0
antidiabetic agents,0
bis(arylidene)cycloalkanones,0
hybrid fillers,0
biodegradable materials,0
aspergillus niger hfm 8,0
pomelo peels,0
ssf,0
natural fiber,0
recycle natural materials,0
biofixation,0
carbohydrate,0
xylanase and cellulase,0
bioactive compounds,0
endophytes,0
nigrospora species,0
swietenia macrophylla king,0
pumpkin powder,0
whole-genome sequencing,0
trichoderma asperellum usm sd4,0
carbohydrate-active enzymes,0
mrn complex,0
dna damage,0
biomass degradation,0
extremophile,0
sensory characteristics,0
agro-wastes,0
goat hair,0
advancements application,0
turbid underwater imaging,0
lateral erosion,0
sl index,0
tropical landslides,0
human,0
dna repair,0
danio rerio,0
rad50 gene,0
oral ulcers,0
transformer-based detection,0
underwater debris detection,0
watermelon rinds,0
error matrix,0
rmse,0
roms model,0
sst,0
statistics,0
polyethylene terephthalate,0
annatto powder,0
biorefinery,0
enzymatic analysis,0
dioxins,0
dl-pcbs,0
particulate mass,0
alginate composite,0
specific energy consumption,0
energy optimization,0
bomb calorimetry,0
building applications,0
natural binder,0
plant-based starch,0
agar,0
melt-compressed,0
thermal processed,0
controlled-release fertilizer,0
porous β-tcp granules,0
microbial biopolymer coating,0
nutrient release modelling,0
soil nutrient retention,0
bio-coated fertiliser,0
goat manure,0
saccharum officinarum l,0
α-amylase inhibitors,0
in vitro cell viability study,0
agro-food organic residues,0
pore size,0
bioactive compound,0
peatland fires,0
bacterial nanofillers,0
pnc,0
polyester,0
self-healing,0
thermoplastic polyurethane,0
atm protein,0
biopurification,0
biosorbent,0
composite biosorbents,0
fe3+ crosslinking,0
biodegradable polymers,0
phytochemical,0
dye wastewater remediation,0
green solvent extraction,0
microbial composite films,0
phytochemical compounds,0
steaming,0
comprehensive strength,0
delayed ettringite formation,0
sulphate reduction,0
waste concrete aggregate,0
transboundary haze,0
